category,n_systems,mean_abs_error_pbe,std_abs_error_pbe,max_abs_error_pbe,mean_abs_error_exp,std_abs_error_exp,mean_n_qe,std_n_qe,min_n_qe,max_n_qe,pct_converged,mean_gp_uncertainty
FCC metals,5,0.28250533923328564,0.23628897087977282,0.6720172496406409,0.7258964130550228,0.8198276607212603,5.6,0.8944271909999159,4,6,100.0,5.208e-06
BCC metals,3,0.5846710630639224,0.24708065461051854,0.8395833333333311,0.5237504496289547,0.44318157198893615,6.0,0.0,6,6,100.0,0.00019279
Semiconductors,6,0.24277896223716564,0.2275321037703651,0.5388831078737424,1.1563620759074966,0.37433724410092517,4.833333333333333,0.983192080250175,4,6,100.0,3.808333333333333e-06
Ionic oxides,6,1.0680886562467586,1.1644842427672548,3.2458801498127374,1.010452723558538,1.2173231470891555,6.0,1.7888543819998317,4,8,100.0,0.0006405366666666667
2D materials,6,0.27812934930322614,0.1272188873275505,0.47770700636942715,0.5697301987021491,0.5644778765888117,6.0,1.2649110640673518,4,8,100.0,1.5226666666666666e-05
Molecules,6,0.801586287896701,0.5042879788315593,1.3333333333333344,0.2949463592008372,0.24719780681818154,6.833333333333333,2.041241452319315,6,11,100.0,2.5615e-05
Battery materials,8,6.149217704895548,11.242988929954576,33.70296528447444,3.2416343042071283,0.0,5.375,1.5979898086569353,4,8,100.0,0.0001546075
Surface adsorption,8,30.909866005239845,15.006170184281428,52.941176470588246,,,9.0,3.2513733362117265,7,17,100.0,0.00066798875
Heusler/intermetallic,2,2.0935573814125603,2.715639571278075,4.013804537521816,2.0588593176005356,2.7647100437091274,5.0,1.4142135623730951,4,6,100.0,3.985e-06
Overall,50,6.363396477267392,13.10878379945852,52.941176470588246,0.8972598212236366,0.999092015152951,6.26,2.183518972219114,4,17,100.0,0.0002260854
Overall 1D,45,6.838862673202431,13.741005241815255,52.941176470588246,0.8932236893682515,0.9673356453258148,6.177777777777778,2.269249864932231,4,17,100.0,0.000139106
Overall 2D,5,2.084200713852036,1.6255670807128044,4.255319148936159,0.9376211397774878,1.549214359283449,7.0,1.0,6,8,100.0,0.0010089
